Month,Seasonally adjusted ($m),Trend ($m)
"Jun-2020","3,239.4",
"Jul-2020","3,410.7",
"Aug-2020","3,215.8",
"Sep-2020","3,299.3",
"Oct-2020","3,479.7",
"Nov-2020","3,710.5",
"Dec-2020","3,871.9",
"Jan-2021","3,868.6",
"Feb-2021","3,865.1",
"Mar-2021","4,007.9",
"Apr-2021","4,104.6",
"May-2021","4,105.8",
"Jun-2021","3,857.7",
"Jul-2021","3,400.7",
"Aug-2021","3,181.0",
"Sep-2021","3,340.9",
"Oct-2021","3,778.0",
"Nov-2021","4,096.6",
"Dec-2021","4,158.6",
"Jan-2022","4,137.5",
"Feb-2022","4,481.1",
"Mar-2022","4,539.4",
"Apr-2022","4,681.7",
"May-2022","4,761.7",
"Jun-2022","4,911.1",
"Jul-2022","4,965.5","4,958.8"
"Aug-2022","5,020.7","5,029.4"
"Sep-2022","5,089.7","5,082.0"
"Oct-2022","5,135.6","5,123.2"
"Nov-2022","5,151.2","5,159.2"
"Dec-2022","5,169.2","5,193.8"
"Jan-2023","5,236.6","5,228.1"
"Feb-2023","5,249.0","5,260.8"
"Mar-2023","5,326.5","5,292.9"
"Apr-2023","5,303.6","5,323.9"
"May-2023","5,351.7","5,350.7"
"Jun-2023","5,347.9","5,373.1"
"Jul-2023","5,408.2","5,387.2"
"Aug-2023","5,413.2","5,389.5"
"Sep-2023","5,383.4","5,380.7"
"Oct-2023","5,364.1","5,365.9"
"Nov-2023","5,371.5","5,352.2"
"Dec-2023","5,267.8","5,347.1"
"Jan-2024","5,364.8","5,353.1"
"Feb-2024","5,393.0","5,367.0"
"Mar-2024","5,387.3","5,381.5"
"Apr-2024","5,404.5","5,393.2"
"May-2024","5,401.8","5,400.8"
"Jun-2024","5,401.4","5,408.6"
"Jul-2024","5,397.9","5,420.9"
"Aug-2024","5,442.0","5,441.8"
"Sep-2024","5,481.8","5,468.7"
"Oct-2024","5,478.8","5,496.5"
"Nov-2024","5,556.5","5,520.7"
"Dec-2024","5,516.7","5,539.6"
"Jan-2025","5,569.3","5,553.0"
"Feb-2025","5,570.5","5,563.1"
"Mar-2025","5,536.7","5,572.4"
"Apr-2025","5,600.3","5,581.3"
"May-2025","5,606.1","5,589.0"
"Jun-2025","5,581.6","5,598.6"
